attendance,study_hours,internal_marks,assignments_submitted,activities_participated,outcome
89.7,2.7,68.6,7,5,Pass
71.7,5.3,71.9,6,4,Pass
49.8,2.4,28.9,9,5,Fail
29.8,1.8,40.8,4,3,Fail
48.3,1.7,30.6,10,1,Fail
49.4,2.8,46.7,3,3,Fail
79.7,4.3,72.1,0,4,Pass
72.8,1.5,67.5,9,3,Fail
91.5,4.0,70.9,2,0,Pass
60.4,0.6,66.2,1,4,Fail
34.0,2.6,45.5,7,2,Fail
78.5,4.4,43.3,7,3,Pass
82.1,2.2,35.3,4,5,Fail
67.1,3.3,88.7,4,1,Pass
82.8,1.5,71.2,10,3,Pass
62.0,4.2,39.0,3,1,Fail
64.2,0.8,38.3,0,0,Fail
57.1,4.8,90.5,0,2,Pass
26.9,1.5,80.7,5,5,Fail
33.1,4.9,74.5,3,4,Pass
27.4,2.3,55.5,3,4,Fail
72.7,4.1,44.6,2,2,Fail
48.6,2.1,98.5,8,0,Pass
63.1,5.0,84.8,2,0,Pass
93.1,1.1,47.6,7,3,Fail
43.7,1.4,88.6,1,0,Fail
55.8,3.0,81.9,3,3,Fail
81.7,0.9,47.3,0,1,Fail
42.2,1.5,57.0,10,2,Fail
30.8,5.2,38.9,4,1,Fail
46.7,5.4,33.3,1,1,Fail
37.1,2.4,79.2,10,1,Pass
94.7,5.1,45.1,0,1,Pass
85.6,3.2,86.5,0,4,Pass
72.5,1.8,99.7,1,0,Fail
90.4,4.0,30.7,4,2,Fail
85.3,3.8,60.5,8,2,Pass
39.0,5.4,85.2,5,5,Pass
91.9,1.8,84.2,3,1,Fail
65.5,3.9,82.0,2,2,Pass
85.6,0.8,51.2,7,3,Fail
92.2,1.1,59.0,2,2,Fail
48.9,0.5,69.6,0,1,Fail
33.3,5.5,98.0,3,2,Pass
42.1,4.5,49.6,10,0,Pass
57.0,4.4,94.2,4,1,Pass
86.4,3.0,45.2,4,4,Fail
89.6,2.0,99.2,4,0,Pass
25.5,1.3,75.3,7,2,Fail
63.3,1.9,59.8,7,4,Fail
56.3,2.4,71.0,3,5,Fail
41.7,4.3,45.4,8,0,Pass
34.0,3.2,45.6,0,5,Fail
50.3,0.9,33.5,4,3,Fail
95.7,0.6,33.6,4,0,Fail
49.2,1.0,51.1,4,4,Fail
63.9,2.6,82.2,7,5,Pass
77.7,5.2,70.6,8,3,Pass
52.3,3.7,32.7,2,5,Fail
97.9,4.5,88.9,8,2,Pass
97.2,2.8,70.1,10,1,Pass
43.9,2.3,97.1,7,5,Pass
62.3,1.0,75.3,2,2,Fail
47.6,4.9,38.1,1,1,Fail
46.4,4.4,60.5,3,1,Fail
27.8,1.3,73.6,1,4,Fail
70.7,3.1,27.1,3,3,Fail
62.7,2.9,26.1,4,3,Fail
28.9,3.6,34.7,1,0,Fail
45.9,5.2,43.9,7,2,Pass
93.1,3.4,57.2,0,4,Fail
43.0,3.2,61.6,2,5,Fail
35.9,0.8,35.4,6,2,Fail
61.7,0.8,75.5,9,5,Fail
98.9,1.4,69.7,0,5,Fail
43.2,0.7,47.1,10,5,Fail
75.4,4.2,26.0,1,0,Fail
82.1,4.1,30.8,2,0,Fail
42.8,1.2,54.4,1,4,Fail
79.6,4.7,36.5,1,0,Fail
52.6,1.3,53.3,10,4,Fail
72.4,2.0,72.1,5,0,Fail
72.5,1.7,66.0,6,3,Fail
65.2,2.4,42.3,5,4,Fail
31.8,1.8,50.8,10,3,Fail
87.6,2.9,71.1,5,3,Pass
49.1,2.5,89.6,8,4,Pass
39.0,5.4,81.5,7,2,Pass
28.1,0.8,66.5,7,1,Fail
69.3,1.2,52.2,5,0,Fail
75.8,0.8,52.4,4,5,Fail
26.2,3.6,91.0,8,0,Pass
63.4,0.8,27.9,1,5,Fail
42.0,4.7,99.1,6,2,Pass
73.4,3.1,74.8,5,1,Pass
38.1,3.1,76.1,6,2,Fail
76.8,3.3,27.8,3,1,Fail
54.0,1.4,70.4,8,4,Fail
95.3,1.5,61.4,6,4,Fail
35.3,2.1,32.9,1,5,Fail
50.6,3.5,45.8,3,3,Fail
33.5,1.6,91.8,4,3,Fail
94.4,1.1,66.2,1,5,Fail
90.8,5.4,56.0,9,4,Pass
44.3,0.6,30.5,7,5,Fail
74.5,4.5,78.6,0,3,Pass
86.3,4.4,77.7,2,5,Pass
66.6,2.0,71.1,0,4,Fail
64.7,1.2,63.3,4,2,Fail
43.1,1.2,57.5,7,0,Fail
32.0,4.0,69.5,6,4,Pass
92.3,3.7,42.5,8,5,Pass
92.5,4.4,95.6,1,4,Pass
72.5,5.2,69.2,7,4,Pass
50.4,4.0,48.3,7,3,Pass
51.2,1.3,58.7,5,5,Fail
79.4,1.7,85.4,2,3,Fail
92.3,4.7,37.1,1,5,Pass
91.5,1.5,47.0,7,3,Fail
83.5,0.9,76.0,5,3,Fail
73.2,4.0,48.7,3,2,Fail
31.3,2.5,84.4,4,4,Fail
37.1,5.1,34.8,4,2,Fail
92.4,3.8,82.2,8,3,Pass
70.5,1.0,30.1,8,2,Fail
25.7,5.2,25.9,7,4,Pass
32.6,1.8,92.4,7,4,Fail
74.8,2.2,68.6,1,3,Fail
25.4,2.5,51.4,2,4,Fail
37.1,0.8,42.4,7,2,Fail
66.2,3.0,71.3,4,1,Fail
76.9,1.1,63.2,6,4,Fail
73.9,2.5,99.4,7,2,Pass
41.8,2.3,98.7,5,2,Fail
78.4,4.4,72.6,4,2,Pass
42.8,4.5,58.2,7,4,Pass
49.4,1.3,61.8,0,1,Fail
81.0,2.3,76.2,0,3,Fail
73.7,2.4,32.6,0,3,Fail
88.7,1.3,49.6,2,4,Fail
74.3,4.5,30.6,9,4,Pass
67.6,4.0,30.5,5,0,Fail
32.0,1.5,39.7,5,5,Fail
52.6,2.3,61.4,4,1,Fail
44.9,1.0,83.9,6,2,Fail
43.3,3.6,61.4,4,5,Pass
98.0,1.1,50.2,1,2,Fail
54.5,5.4,31.2,3,5,Pass
91.9,4.4,66.3,0,3,Pass
72.3,2.5,45.3,6,5,Fail
84.6,3.4,71.1,3,4,Pass
62.7,5.1,98.3,3,1,Pass
68.3,3.3,33.3,3,3,Fail
61.9,1.4,40.9,2,5,Fail
39.6,2.4,60.5,7,1,Fail
79.2,4.7,97.6,3,4,Pass
46.1,3.7,82.9,7,2,Pass
26.8,3.8,92.4,8,0,Pass
73.4,4.8,50.0,0,1,Fail
38.3,5.0,99.4,3,2,Pass
95.5,5.1,32.7,5,1,Pass
96.5,1.0,29.0,7,1,Fail
93.6,3.2,89.2,5,1,Pass
52.8,4.2,94.5,5,4,Pass
26.2,4.3,31.8,9,3,Pass
94.6,3.5,33.5,3,1,Fail
57.1,1.3,27.5,8,4,Fail
97.5,4.5,32.8,6,0,Pass
97.3,4.1,40.7,10,3,Pass
89.0,0.9,97.8,5,4,Pass
47.1,2.8,75.1,0,0,Fail
53.9,1.4,83.4,1,3,Fail
88.8,2.2,83.2,5,4,Pass
48.8,0.6,65.1,10,0,Fail
37.7,2.5,84.8,0,4,Fail
66.8,3.2,69.7,10,0,Pass
95.2,3.6,48.6,4,1,Fail
77.2,3.8,67.1,0,1,Fail
67.8,4.7,65.0,2,3,Pass
32.3,1.6,86.8,6,0,Fail
71.1,1.1,98.6,4,1,Fail
99.3,4.8,55.8,9,3,Pass
35.5,1.3,82.3,0,2,Fail
63.9,5.4,32.5,0,1,Fail
90.8,4.7,83.3,7,1,Pass
80.6,3.0,52.9,10,5,Pass
77.3,5.4,28.0,8,4,Pass
77.7,1.0,52.2,6,2,Fail
52.0,2.0,70.8,2,0,Fail
47.0,3.7,33.9,5,3,Fail
85.7,2.3,94.3,2,2,Fail
85.8,5.1,30.8,9,0,Pass
90.0,0.8,94.8,3,1,Fail
93.5,3.2,78.0,3,5,Pass
63.4,3.5,49.7,2,3,Fail
62.6,3.8,54.3,9,3,Pass
84.9,1.8,80.6,5,2,Fail
73.7,2.3,70.1,4,4,Fail
77.6,4.7,75.4,10,0,Pass
84.7,1.5,54.2,8,5,Fail
91.8,4.6,61.6,8,5,Pass
50.3,3.3,99.2,2,2,Pass
53.2,4.3,41.0,8,4,Pass
32.0,4.1,56.3,2,4,Fail
68.4,1.5,46.9,3,4,Fail
27.7,3.3,82.4,0,3,Fail
59.9,4.8,82.3,4,0,Pass
65.7,2.7,46.9,8,0,Fail
46.5,5.3,31.1,1,2,Fail
69.3,2.8,25.9,3,1,Fail
27.3,1.2,57.1,9,2,Fail
27.8,2.4,55.8,1,0,Fail
86.7,5.3,99.1,7,3,Pass
52.0,2.1,60.2,8,2,Fail
34.5,4.8,44.2,2,1,Fail
64.2,4.9,91.8,8,5,Pass
82.7,2.3,61.8,5,2,Fail
41.2,0.9,69.9,5,4,Fail
71.7,4.1,32.2,6,1,Fail
31.4,2.1,53.7,4,4,Fail
28.9,4.4,95.8,5,3,Pass
64.9,2.7,69.2,10,0,Pass
65.5,2.9,50.8,0,2,Fail
72.8,4.4,71.9,2,2,Pass
79.5,2.4,93.3,8,4,Pass
98.2,2.7,45.5,4,4,Fail
63.7,2.4,62.9,4,0,Fail
49.2,2.3,96.9,7,2,Pass
84.6,3.1,37.9,10,0,Pass
45.3,4.5,79.0,10,4,Pass
57.9,2.3,71.1,1,5,Fail
30.9,3.1,76.0,6,4,Pass
26.9,3.9,51.3,8,1,Fail
97.2,1.8,48.5,6,4,Fail
87.7,1.9,76.3,4,4,Fail
77.2,5.2,41.2,5,5,Pass
55.7,4.1,56.5,3,0,Fail
38.0,3.4,39.1,6,1,Fail
36.7,3.7,25.6,0,1,Fail
43.8,0.6,97.8,3,2,Fail
66.2,3.6,57.4,2,5,Fail
78.6,3.0,97.7,3,3,Pass
74.5,3.2,35.5,0,2,Fail
46.0,2.3,69.1,1,2,Fail
96.6,0.9,40.1,10,2,Fail
80.3,1.5,84.3,8,1,Pass
66.6,5.3,83.8,6,0,Pass
70.9,2.5,33.4,5,4,Fail
56.5,2.8,93.4,1,1,Fail
43.6,0.8,39.6,0,4,Fail
51.7,0.7,71.0,1,4,Fail
81.8,4.1,98.9,6,3,Pass
26.1,3.2,91.2,1,2,Fail
33.7,3.0,96.7,2,3,Fail
28.5,1.7,50.7,7,2,Fail
28.1,4.2,32.9,6,1,Fail
89.2,1.3,39.1,10,4,Fail
77.8,1.4,62.5,10,3,Pass
60.6,2.8,84.5,10,5,Pass
32.3,1.9,36.3,8,1,Fail
61.9,1.7,74.5,3,1,Fail
60.5,3.7,49.3,6,5,Pass
38.0,3.8,50.6,0,2,Fail
57.5,4.6,74.6,10,4,Pass
54.9,2.6,60.0,10,2,Pass
71.2,0.9,85.9,1,2,Fail
72.6,1.9,36.7,6,1,Fail
28.4,5.4,84.2,1,2,Pass
53.1,3.5,29.8,5,0,Fail
71.9,4.0,39.6,9,5,Pass
62.7,0.5,74.2,8,5,Fail
89.2,3.1,89.1,10,4,Pass
74.4,0.7,44.0,4,5,Fail
37.2,3.3,49.5,9,2,Pass
30.3,5.1,65.3,6,2,Pass
73.2,5.3,40.9,0,3,Pass
27.0,3.2,85.8,7,4,Pass
68.9,2.8,83.0,8,4,Pass
95.5,5.2,35.9,4,5,Pass
68.2,3.9,59.8,5,2,Pass
54.1,0.8,83.1,10,0,Fail
73.2,2.8,50.3,7,3,Pass
59.4,1.7,72.5,3,0,Fail
65.9,2.8,28.8,1,2,Fail
95.6,2.8,70.7,9,4,Pass
54.0,3.4,36.4,7,4,Fail
97.1,2.3,87.3,1,0,Fail
92.9,1.3,51.7,4,1,Fail
39.7,3.0,46.1,5,2,Fail
30.2,4.7,88.1,4,4,Pass
32.6,3.8,28.8,5,5,Fail
26.4,2.2,54.7,5,1,Fail
32.1,5.2,52.8,2,4,Pass
76.2,5.1,46.4,10,5,Pass
30.3,1.5,93.4,10,4,Pass
48.9,0.7,81.3,2,1,Fail
88.4,4.2,29.8,8,0,Pass
26.7,4.6,78.6,2,2,Pass
86.1,5.3,64.5,2,1,Pass
46.1,4.9,92.6,10,1,Pass
33.9,3.5,48.5,1,4,Fail
77.3,3.2,68.1,6,5,Pass
72.2,0.6,62.6,9,1,Fail
90.8,1.7,61.7,9,2,Pass
80.1,2.8,59.2,3,0,Fail
85.3,3.6,40.4,0,5,Fail
46.2,3.3,81.7,5,0,Fail
38.3,4.2,58.9,4,0,Fail
81.3,1.9,96.9,10,2,Pass
85.5,3.3,44.6,1,4,Fail
99.3,0.9,76.2,5,5,Fail
55.9,2.6,95.6,0,5,Fail
52.9,4.3,74.8,2,2,Pass
83.2,4.0,90.3,3,5,Pass
50.6,5.5,87.1,2,1,Pass
94.8,1.9,52.0,5,3,Fail
89.4,3.0,70.0,10,3,Pass
57.2,2.1,36.7,3,3,Fail
81.3,2.7,65.2,0,0,Fail
81.6,4.8,42.3,4,5,Pass
32.7,3.9,80.8,4,2,Pass
92.7,4.9,64.6,8,5,Pass
62.9,1.5,55.8,7,2,Fail
87.0,4.9,45.2,7,5,Pass
49.0,0.8,99.9,4,0,Fail
92.2,4.9,30.4,7,1,Pass
54.2,2.1,28.3,9,3,Fail
25.8,2.1,41.3,6,3,Fail
92.9,3.1,97.8,0,5,Pass
31.8,5.2,98.4,6,0,Pass
48.9,0.7,74.1,10,3,Fail
96.3,2.3,91.0,7,5,Pass
96.3,4.8,41.0,2,4,Pass
68.0,2.5,97.9,8,5,Pass
72.4,1.5,35.7,7,2,Fail
58.6,2.6,32.6,1,3,Fail
47.0,2.4,33.4,5,3,Fail
49.6,5.1,68.0,3,4,Pass
75.4,4.3,83.6,2,1,Pass
81.4,3.0,52.5,10,5,Pass
84.4,5.4,98.3,5,1,Pass
84.2,2.8,57.6,9,5,Pass
31.8,0.8,36.3,8,4,Fail
62.1,1.8,59.9,1,1,Fail
29.3,2.7,75.9,9,0,Fail
66.2,1.3,87.4,9,4,Pass
58.1,5.2,59.4,9,5,Pass
91.6,4.3,69.5,4,2,Pass
51.3,1.8,45.1,5,2,Fail
33.8,3.5,73.4,3,2,Fail
35.7,4.1,98.9,6,5,Pass
82.1,5.2,28.7,1,3,Fail
71.4,4.9,91.5,6,4,Pass
32.6,3.1,67.2,1,4,Fail
31.3,4.4,43.9,0,1,Fail
77.6,3.3,96.6,10,4,Pass
30.5,3.3,61.3,4,4,Fail
86.6,1.1,49.9,1,1,Fail
78.0,1.1,38.6,7,4,Fail
31.1,3.1,43.3,7,4,Fail
31.4,1.8,87.5,0,0,Fail
99.0,0.6,71.1,3,5,Fail
53.1,4.1,93.5,8,1,Pass
52.8,0.7,42.4,4,0,Fail
86.0,3.5,34.1,10,3,Pass
96.0,3.2,25.5,9,1,Pass
99.0,5.3,63.1,5,5,Pass
81.5,2.9,99.9,2,4,Pass
53.2,0.8,77.1,4,4,Fail
31.3,3.3,48.1,0,0,Fail
83.3,4.7,90.8,7,0,Pass
66.9,5.5,83.6,10,3,Pass
56.8,2.7,26.2,5,3,Fail
93.0,2.1,86.3,1,5,Fail
33.3,5.0,47.5,3,4,Pass
61.9,1.5,36.2,3,2,Fail
25.9,3.6,42.0,8,3,Fail
60.1,2.5,60.1,8,4,Pass
29.2,0.7,56.9,4,3,Fail
33.9,2.2,46.7,2,1,Fail
33.8,1.8,37.9,0,0,Fail
73.7,3.9,82.2,5,4,Pass
81.0,5.2,99.3,7,3,Pass
68.8,1.8,83.3,0,0,Fail
97.2,4.6,47.2,10,2,Pass
53.1,0.8,43.4,0,3,Fail
46.4,3.2,41.3,10,4,Pass
90.1,0.9,35.3,6,1,Fail
41.8,5.2,66.3,6,0,Pass
97.2,4.3,70.4,1,0,Pass
25.9,3.8,77.9,2,1,Fail
97.7,4.6,76.0,1,4,Pass
28.2,3.7,46.9,5,5,Fail
91.8,5.3,49.8,7,2,Pass
64.6,4.1,76.1,7,5,Pass
99.5,5.1,51.2,0,1,Pass
30.5,3.1,40.9,10,2,Fail
66.5,1.1,53.1,8,4,Fail
97.7,3.1,45.4,10,3,Pass
64.2,1.1,31.6,7,3,Fail
72.2,3.5,87.3,8,5,Pass
77.2,2.9,89.0,8,4,Pass
59.1,3.6,41.5,10,2,Pass
72.1,0.6,29.9,5,5,Fail
68.8,1.5,80.4,2,1,Fail
92.6,3.0,40.9,0,5,Fail
28.4,5.3,54.5,10,4,Pass
46.1,2.4,29.8,7,4,Fail
96.3,2.6,42.0,9,3,Pass
91.8,4.1,84.5,2,1,Pass
59.2,3.5,85.3,6,3,Pass
71.5,2.0,40.5,9,2,Fail
45.8,2.6,50.2,5,2,Fail
39.1,1.6,35.1,2,0,Fail
59.8,5.3,30.6,5,4,Pass
51.5,1.2,99.4,2,1,Fail
68.8,2.4,74.2,8,1,Pass
30.8,0.6,65.7,0,3,Fail
98.1,1.6,82.4,7,5,Pass
99.0,4.4,88.0,4,5,Pass
77.4,1.5,85.5,3,3,Fail
65.2,0.9,26.2,0,5,Fail
48.2,2.9,39.0,8,1,Fail
86.0,0.5,74.1,8,3,Fail
76.4,0.9,53.2,4,5,Fail
37.2,4.5,98.7,10,0,Pass
93.3,4.4,74.9,8,4,Pass
86.7,5.1,96.7,9,0,Pass
96.2,4.8,40.1,8,5,Pass
79.4,3.9,89.8,6,2,Pass
71.0,0.8,49.1,7,1,Fail
56.4,4.4,99.2,0,0,Pass
95.0,4.7,36.8,3,0,Pass
90.0,4.5,63.7,9,3,Pass
28.4,3.0,84.5,9,3,Pass
27.0,1.7,57.4,3,3,Fail
53.2,4.7,60.1,8,5,Pass
85.8,4.1,99.0,2,2,Pass
99.0,5.4,56.9,9,0,Pass
36.3,1.3,70.3,9,4,Fail
69.6,1.6,29.1,0,3,Fail
53.6,1.6,88.2,10,2,Pass
97.7,4.5,73.6,4,5,Pass
88.2,1.4,55.3,6,2,Fail
87.9,0.8,26.2,3,3,Fail
60.2,5.5,69.4,8,1,Pass
56.1,0.6,25.9,5,0,Fail
45.5,4.7,25.1,5,3,Fail
29.2,2.3,71.2,2,4,Fail
89.9,4.7,39.2,9,0,Pass
86.0,3.3,39.4,9,2,Pass
100.0,5.0,74.0,4,4,Pass
99.7,5.1,29.0,9,0,Pass
66.7,0.5,48.5,5,4,Fail
82.7,0.9,36.2,3,2,Fail
95.9,1.8,68.5,2,3,Fail
88.7,3.8,74.6,4,4,Pass
43.6,4.9,79.1,6,3,Pass
58.8,2.8,44.1,10,2,Pass
34.7,3.5,31.7,5,2,Fail
96.6,1.4,30.9,1,4,Fail
70.5,4.5,57.0,0,4,Pass
42.1,5.3,95.9,4,2,Pass
75.4,1.8,41.3,4,4,Fail
71.4,3.0,44.3,5,4,Fail
51.9,0.9,32.6,2,4,Fail
33.5,3.3,70.4,0,5,Fail
75.4,3.0,76.0,3,4,Pass
64.0,1.2,73.2,3,0,Fail
82.9,2.7,89.6,9,2,Pass
64.0,2.2,61.5,1,2,Fail
88.9,3.1,35.1,7,1,Fail
66.4,3.4,46.7,5,3,Fail
67.1,0.5,74.7,2,1,Fail
90.7,4.3,71.0,0,4,Pass
55.3,4.1,64.8,10,4,Pass
35.1,2.3,76.2,2,0,Fail
27.2,0.8,72.8,7,0,Fail
81.6,4.3,91.1,3,0,Pass
71.5,5.3,69.0,2,0,Pass
77.8,1.7,83.4,10,0,Pass
41.0,2.1,43.7,3,0,Fail
35.2,1.4,75.9,10,0,Fail
26.1,3.4,92.7,3,0,Fail
51.3,1.3,53.9,1,5,Fail
69.2,2.3,83.4,3,0,Fail
54.4,4.0,79.4,10,2,Pass
57.8,3.3,29.5,8,0,Fail
92.8,2.4,68.6,3,3,Fail
51.1,2.6,34.8,0,0,Fail
63.5,3.3,97.5,0,5,Pass
83.8,0.5,85.9,0,4,Fail
54.7,0.9,33.2,4,5,Fail
71.7,4.9,34.1,5,5,Pass
89.7,0.9,69.6,5,4,Fail
96.2,4.0,50.9,5,0,Pass
36.0,5.1,27.6,8,0,Pass
94.5,1.9,65.6,0,4,Fail
61.9,2.4,54.1,9,3,Pass
44.4,3.3,32.6,5,1,Fail
59.4,4.9,85.1,7,2,Pass
98.5,5.2,93.6,7,4,Pass
61.9,4.2,81.7,2,0,Pass
49.7,0.9,86.7,4,2,Fail
72.5,3.8,41.2,9,0,Pass
43.0,2.6,44.8,3,1,Fail
30.7,2.9,40.6,0,1,Fail
34.7,0.7,82.4,8,4,Fail
34.6,1.5,96.1,4,2,Fail
36.4,4.5,78.8,1,5,Pass
35.4,2.8,91.1,1,2,Fail
73.1,2.0,72.9,10,5,Pass
38.6,2.4,54.1,6,1,Fail
50.9,4.8,56.9,3,0,Fail
92.3,4.2,30.6,0,5,Fail
60.5,1.9,27.4,4,5,Fail
75.1,1.1,77.2,1,4,Fail
37.9,1.8,57.9,6,3,Fail
39.4,5.1,66.4,8,1,Pass
28.1,3.4,66.8,0,5,Fail
37.7,3.2,45.8,1,1,Fail
45.9,3.5,60.7,10,4,Pass
38.3,2.3,60.3,5,0,Fail
31.7,4.5,54.1,7,2,Pass
34.0,3.1,86.6,6,1,Pass
59.6,1.1,58.8,8,4,Fail
40.5,1.1,70.3,1,4,Fail
52.3,3.2,92.2,8,4,Pass
62.8,5.2,90.0,3,2,Pass
76.8,2.0,91.8,10,1,Pass
27.9,4.8,45.3,2,5,Fail
85.0,4.3,27.6,6,4,Pass
72.1,1.7,44.6,4,2,Fail
31.1,0.7,45.9,4,0,Fail
90.5,1.0,93.2,1,3,Fail
94.1,4.1,73.7,5,1,Pass
29.6,1.5,31.1,5,2,Fail
45.8,2.4,35.2,3,3,Fail
85.5,3.0,36.7,4,3,Fail
81.1,4.1,72.3,6,2,Pass
38.8,1.1,80.2,7,5,Fail
40.7,2.5,89.5,5,5,Pass
52.8,2.9,95.5,4,2,Pass
61.3,3.2,40.1,2,2,Fail
71.4,4.6,48.2,6,4,Pass
52.7,1.4,43.0,7,0,Fail
59.7,4.5,51.9,2,5,Pass
81.1,4.0,93.6,4,4,Pass
27.8,3.3,68.1,10,3,Pass
43.9,4.0,80.4,1,3,Fail
78.5,2.6,61.8,9,3,Pass
92.1,1.2,27.2,9,2,Fail
63.4,3.8,29.8,3,1,Fail
64.9,3.1,65.3,3,4,Fail
33.0,3.7,78.9,7,1,Pass
58.6,2.2,41.1,2,0,Fail
64.9,5.0,79.1,4,0,Pass
43.2,3.4,85.8,10,4,Pass
45.2,0.9,55.9,4,3,Fail
53.3,2.7,81.0,1,5,Fail
26.5,4.3,55.3,8,0,Pass
49.2,4.5,75.9,3,1,Pass
40.9,3.0,82.3,8,1,Pass
49.6,5.0,99.4,8,5,Pass
34.0,1.8,50.9,1,2,Fail
91.8,2.6,55.8,8,3,Pass
69.5,5.0,37.4,8,2,Pass
75.9,5.0,40.3,1,4,Pass
84.2,3.9,77.0,10,0,Pass
62.4,4.8,93.8,5,5,Pass
31.5,0.9,54.6,8,5,Fail
65.3,4.8,38.5,3,5,Pass
69.0,2.1,46.4,1,2,Fail
80.9,1.4,59.1,6,2,Fail
57.4,1.7,46.8,8,4,Fail
34.6,2.6,42.5,5,1,Fail
46.3,1.8,80.2,10,1,Fail
52.2,2.1,25.6,10,4,Fail
73.4,1.2,65.4,3,5,Fail
67.8,2.0,84.5,0,1,Fail
51.7,3.4,45.0,3,4,Fail
99.0,2.7,70.2,2,1,Fail
70.4,2.2,75.2,6,4,Pass
42.8,4.2,74.1,10,1,Pass
32.6,5.0,58.4,10,5,Pass
36.5,4.3,51.0,9,2,Pass
43.4,2.2,87.7,4,2,Fail
37.1,4.2,81.9,2,5,Pass
39.0,1.3,49.1,1,1,Fail
46.4,1.2,32.7,1,5,Fail
38.0,2.2,30.4,4,4,Fail
92.3,4.5,32.1,7,2,Pass
31.0,1.7,68.7,7,0,Fail
64.3,0.8,28.9,4,1,Fail
55.8,1.2,50.3,1,0,Fail
98.7,4.8,81.5,3,0,Pass
33.4,3.7,47.1,6,3,Fail
54.8,1.8,82.2,5,0,Fail
97.7,3.3,80.9,9,0,Pass
89.9,3.1,43.4,6,5,Pass
86.3,3.8,79.7,4,3,Pass
44.3,1.7,81.1,1,3,Fail
37.8,4.8,54.8,7,3,Pass
75.1,2.0,40.8,1,4,Fail
94.7,4.0,64.1,7,3,Pass
66.8,0.6,94.1,6,5,Fail
67.9,2.4,73.0,2,4,Fail
46.0,2.3,38.0,3,1,Fail
82.7,3.2,76.2,6,4,Pass
39.0,0.9,57.0,3,1,Fail
49.3,4.5,69.4,8,3,Pass
56.9,1.6,80.1,6,3,Fail
63.1,3.9,63.6,0,1,Fail
43.2,4.5,86.0,0,2,Pass
33.6,3.3,79.2,3,5,Fail
70.8,4.2,71.1,8,4,Pass
